UserId,MFAMethod,CreatedAt,ClientIP,Application,Browser,OS,Unit,Title
U4000,OTP,2025-05-05 12:15:14,10.114.161.180,CRM,Chrome,Windows 10,Bilgi İşlem,Takım Lideri
U4000,SMS,2025-05-17 09:13:14,10.114.161.180,CRM,Firefox,macOS,Bilgi İşlem,Takım Lideri
U4000,SMS,2025-05-19 14:14:28,10.114.161.180,CRM,Firefox,Windows 10,Bilgi İşlem,Takım Lideri
U4001,SMS,2025-05-25 12:09:13,192.168.148.198,CRM,Chrome,Windows 10,İK,Yönetici
U4001,SMS,2025-05-26 13:38:16,192.168.148.198,HR System,Chrome,Linux,İK,Yönetici
U4001,OTP,2025-05-10 14:05:35,192.168.148.198,HR System,Chrome,macOS,İK,Yönetici
U4002,SMS,2025-05-28 23:18:05,10.160.255.1,CRM,Safari,macOS,Bilgi İşlem,Uzman
U4002,SMS,2025-05-12 15:40:53,172.28.90.25,HR System,Chrome,Windows 10,Bilgi İşlem,Uzman
U4002,SMS,2025-05-20 18:41:04,172.28.90.25,CRM,Chrome,Windows 10,Bilgi İşlem,Uzman
U4003,OTP,2025-05-02 08:14:52,172.19.179.150,HR System,Chrome,Windows 10,Satış,Yönetici
U4003,SMS,2025-05-11 20:56:45,10.40.170.6,HR System,Safari,Linux,Satış,Yönetici
U4003,SMS,2025-05-05 15:09:16,172.19.179.150,HR System,Firefox,Windows 10,Satış,Yönetici
U4004,SMS,2025-05-16 11:08:32,192.168.164.115,CRM,Edge,Windows 10,İK,Yönetici
U4004,SMS,2025-05-14 10:50:43,192.168.164.115,HR System,Chrome,Linux,İK,Yönetici
U4004,Mail,2025-05-28 16:16:35,192.168.164.115,CRM,Firefox,Windows 10,İK,Yönetici
U4005,SMS,2025-05-06 09:18:27,10.103.196.83,HR System,Safari,macOS,Finans,Yönetici
U4005,SMS,2025-05-28 16:58:06,10.103.196.83,CRM,Chrome,macOS,Finans,Yönetici
U4005,Mail,2025-05-17 16:49:59,10.103.196.83,HR System,Chrome,Windows 10,Finans,Yönetici
U4006,Mail,2025-05-19 11:03:15,10.255.149.188,CRM,Firefox,macOS,Finans,Yönetici
U4006,SMS,2025-05-05 16:49:08,10.255.149.188,CRM,Chrome,macOS,Finans,Yönetici
U4006,OTP,2025-05-18 14:13:59,10.255.149.188,CRM,Firefox,Windows 10,Finans,Yönetici
U4007,SMS,2025-05-08 16:28:07,10.137.93.226,HR System,Chrome,Windows 10,Finans,Stajyer
U4007,OTP,2025-05-03 17:14:00,10.137.93.226,CRM,Chrome,Linux,Finans,Stajyer
U4007,SMS,2025-05-08 13:04:32,10.137.93.226,HR System,Chrome,Windows 10,Finans,Stajyer
U4008,SMS,2025-05-07 15:51:26,192.168.84.197,HR System,Chrome,Windows 10,İK,Uzman
U4008,SMS,2025-05-21 08:43:41,192.168.84.197,HR System,Firefox,macOS,İK,Uzman
U4008,SMS,2025-05-07 09:15:12,192.168.84.197,CRM,Chrome,Windows 10,İK,Uzman
